
This product is licensed by WSO2 Inc. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type.          License
_________________________________________________________________________________________________________________________________________________
callhome-4.5.x_1.0.8.jar                                                                            bundle         apache2
core-1.0.7.jar                                                                                      jarinbundle    apache2
org.wso2.carbon.identity.application.authenticator.oidc-5.6.0.jar                                   bundle         apache2
org.wso2.carbon.identity.oauth2.grant.jwt-1.0.31.jar                                                bundle         apache2
org.eclipse.osgi-3.10.2.v20150203-1939.jar                                                          bundle         epl1
jdbc-pool-9.0.35.wso2v1.jar                                                                         bundle         apache2
org.osgi.service.metatype.annotations-1.3.0.jar                                                     bundle         apache2
commons-lang3-3.8.1.jar                                                                             bundle         apache2
org.wso2.carbon.privacy.forgetme.tool-1.3.2.jar                                                     bundle         apache2
h2-1.4.199.jar                                                                                      bundle         apache2
org.wso2.carbon.jndi-1.0.0-alpha.jar                                                                bundle         apache2
org.wso2.carbon.privacy.forgetme.api-1.3.2.jar                                                      bundle         apache2
commons-text-1.6.jar                                                                                bundle         apache2
commons-lang-2.6.jar                                                                                bundle         apache2
xercesImpl-2.8.1.wso2v2.jar                                                                         bundle         apache2
org.wso2.carbon.privacy.forgetme.logs-1.3.2.jar                                                     bundle         apache2
org.wso2.carbon.base-4.6.1-alpha.jar                                                                bundle         apache2
istack-commons-runtime-3.0.11.jar                                                                   bundle         edl1
org.wso2.carbon.user.core-4.6.1-alpha.jar                                                           bundle         apache2
pax-logging-log4j2-1.11.3.jar                                                                       bundle         apache2
osgi.core-6.0.0.jar                                                                                 bundle         apache2
axiom-1.2.11-wso2v17.jar                                                                            bundle         apache2
org.eclipse.osgi.services-3.4.0.v20140312-2051.jar                                                  bundle         epl1
org.osgi.annotation-6.0.0.jar                                                                       bundle         apache2
commons-codec-1.4.jar                                                                               bundle         apache2
json-simple-1.1.1.jar                                                                               bundle         apache2
org.wso2.carbon.utils-4.6.1-alpha.jar                                                               bundle         apache2
jaxb-api-2.3.1.jar                                                                                  bundle         cddl1
jaxb-impl-2.3.2.jar                                                                                 bundle         cddl1
HikariCP-2.4.1.jar                                                                                  bundle         apache2
log4j-1.2.17.jar                                                                                    bundle         apache2
commons-io-2.4.0.wso2v1.jar                                                                         bundle         apache2
javax.activation-api-1.2.0.jar                                                                      bundle         cddl1
org.eclipse.osgi-3.14.0.jar                                                                         bundle         epl1
org.wso2.carbon.user.api-4.6.1-alpha.jar                                                            bundle         apache2
org.wso2.carbon.privacy.forgetme.analytics.streams-1.3.2.jar                                        bundle         apache2
org.wso2.carbon.privacy.forgetme.sql-1.3.2.jar                                                      bundle         apache2
pax-logging-api-1.11.3.jar                                                                          bundle         apache2
osgi.cmpn-6.0.0.jar                                                                                 bundle         apache2
org.wso2.carbon.core-5.1.0-alpha2.jar                                                               bundle         apache2
slf4j-api-1.7.26.jar                                                                                bundle         mit
org.osgi.service.component.annotations-1.3.0.jar                                                    bundle         apache2
org.wso2.securevault-1.1.3.jar                                                                      bundle         apache2
commons-cli-1.3.1.jar                                                                               bundle         apache2
org.wso2.carbon.datasource.core-1.0.4.jar                                                           bundle         apache2
org.wso2.carbon.privacy.forgetme.userstore-1.3.2.jar                                                bundle         apache2
org.wso2.carbon.crypto.api-1.1.6.jar                                                                bundle         apache2
gson-2.8.5.jar                                                                                      bundle         apache2
slf4j-log4j12-1.7.26.jar                                                                            bundle         mit
pdepublishing-ant.jar                                                                               jar            epl1
pdepublishing.jar                                                                                   jar            epl1
org.wso2.carbon.mediation.templates.common_4.7.99.jar                                               bundle         apache2
org.wso2.carbon.core.common_4.6.2.jar                                                               bundle         apache2
org.wso2.carbon.identity.functions.library.mgt.ui_5.18.187.jar                                      bundle         apache2
org.eclipse.equinox.p2.jarprocessor_1.0.300.v20131211-1531.jar                                      bundle         epl1
net.minidev.json-smart_2.3.0.jar                                                                    bundle         apache2
org.wso2.carbon.identity.functions.library.mgt.stub_5.18.187.jar                                    bundle         apache2
org.eclipse.equinox.preferences_3.6.0.v20160120-1756.jar                                            bundle         epl1
org.wso2.carbon.crypto.impl_1.1.9.jar                                                               bundle         apache2
org.jaggeryjs.hostobjects.db_0.14.13.jar                                                            bundle         apache2
org.wso2.carbon.apimgt.keymgt_9.0.174.jar                                                           bundle         apache2
org.wso2.carbon.relay_4.7.99.jar                                                                    bundle         apache2
org.wso2.carbon.identity.core_5.18.187.jar                                                          bundle         apache2
org.wso2.carbon.registry.servlet_4.7.39.jar                                                         bundle         apache2
org.wso2.carbon.apimgt.gateway_9.0.174.jar                                                          bundle         apache2
org.wso2.carbon.event.output.adapter.websocket.local_5.2.34.jar                                     bundle         apache2
concurrent-trees_2.6.0.jar                                                                          bundle         apache2
org.wso2.orbit.sun.xml.bind.jaxb_2.3.2.wso2v1.jar                                                   bundle         apache2
org.wso2.carbon.queuing_4.6.2.jar                                                                   bundle         apache2
org.wso2.carbon.registry.ws.client_4.7.39.jar                                                       bundle         apache2
org.wso2.carbon.mashup.utils_4.2.0.jar                                                              bundle         apache2
net.minidev.accessors-smart_1.2.0.jar                                                               bundle         apache2
org.wso2.carbon.identity.user.store.count_5.18.187.jar                                              bundle         apache2
org.wso2.carbon.governance.client_4.8.21.jar                                                        bundle         apache2
org.wso2.carbon.registry.info.ui_4.7.39.jar                                                         bundle         apache2
org.wso2.carbon.event.input.adapter.email_5.2.34.jar                                                bundle         apache2
org.wso2.carbon.governance.wsdltool_4.8.21.jar                                                      bundle         apache2
io.swagger.annotations_1.6.1.jar                                                                    bundle         apache2
org.wso2.carbon.identity.password.policy_1.4.72.jar                                                 bundle         apache2
org.wso2.carbon.identity.event.handler.notification_1.3.13.jar                                      bundle         apache2
