2018-11-07 17:46:54,786 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 17:46:54,789 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 17:46:56,035 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 17:46:56,036 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : true, "message" : " Invalid resource configuration "}
2018-11-07 17:51:16,519 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 17:51:16,522 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 17:51:17,616 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 17:51:17,616 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : true, "message" : " Invalid resource configuration "}
2018-11-07 17:52:12,230 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 17:52:12,243 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 17:52:12,904 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 17:52:12,904 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : true, "message" : " Invalid resource configuration "}
2018-11-07 17:53:23,752 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 17:53:23,755 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 17:55:08,137 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 17:55:08,137 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : true, "message" : " Invalid resource configuration "}
2018-11-07 17:57:15,830 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 17:57:15,833 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 17:57:16,772 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 17:57:16,772 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "data" : {"apiName" : "PhoneVerification", "version" : "1.0.0", "provider" : "admin"}}
2018-11-07 18:00:59,138 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 18:00:59,141 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 18:00:59,872 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 18:00:59,872 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "data" : {"apiName" : "PhoneVerification", "version" : "1.0.0", "provider" : "admin"}}
2018-11-07 18:07:10,285 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 18:07:10,288 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 18:07:11,745 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 18:07:11,745 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "data" : {"apiName" : "PhoneVerification", "version" : "1.0.0", "provider" : "admin"}}
2018-11-07 18:07:11,886 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 18:07:11,886 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false}
2018-11-07 18:18:17,805 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/infrastructure.properties
2018-11-07 18:18:17,809 INFO  [org.wso2.am.scenario.test.common.APIPublisherRestClient] - Login to Publisher http://localhost:9763/ as the user admin
2018-11-07 18:18:18,842 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 18:18:18,842 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "data" : {"apiName" : "PhoneVerification", "version" : "1.0.0", "provider" : "admin"}}
2018-11-07 18:18:19,013 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2018-11-07 18:18:19,013 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false}
